	variance
CDKN1A	0.5898006
ERO1B	0.58917975
NEXN	0.5881177
C1QC	0.5846968
ATP5F1D	0.58352226
CTRL	0.58310604
PTN	0.5826018
IL1B	0.5819183
PLPP1	0.5800682
PSME2	0.5735171
TMBIM6	0.57271546
CFH	0.57196486
RAC1	0.57138944
PGF	0.5709829
CEACAM6	0.5665143
H1FX	0.5662478
KLF5	0.56554264
RGS2	0.5654366
CCNI	0.5643993
VMP1	0.5628071
PLP1	0.5618824
AKR1B1	0.5599815
SLC39A8	0.5594622
MT-ATP8	0.5590517
DUSP2	0.5537608
DUSP9	0.5528256
NFKBIZ	0.5522807
RPS27L	0.5519601
SH2D6	0.5499401
MEDAG	0.54891527
PMAIP1	0.5473104
CYCS	0.54719794
TMEM258	0.5411803
AMD1	0.5404226
SDF2L1	0.54041207
PROCR	0.5384026
CAST	0.5372961
COX8A	0.5361792
CTSZ	0.5348712
THBS2	0.5303966
CSRP3	0.53034455
CD14	0.5297891
CORO1A	0.5296301
GYPC	0.5272148
NDUFA4L2	0.5265594
ARPC1B	0.520658
FXYD2	0.51898813
ID4	0.51872987
YWHAZ	0.51478136
HMGA1	0.5132122
MUC2	0.51308453
JPT1	0.5116186
MKI67	0.5084084
DEK	0.50778484
FYB1	0.5060399
ATP5F1A	0.5059809
TMA7	0.505878
CD36	0.505629
CD151	0.50353974
ITGA2B	0.5018761
NDRG2	0.49886745
TCN1	0.49818352
ACTN1	0.49534848
SYNE2	0.49487698
HIST1H2AC	0.4943733
RGS10	0.4932847
EMP2	0.4924856
EPAS1	0.49175787
TOP2A	0.49079144
NFIB	0.4907432
GAS7	0.48943081
GP9	0.48919857
TUBA4A	0.48906276
DSG3	0.4847905
PLAUR	0.48333418
HMGN1	0.48320243
SERP1	0.4803772
DNAJA1	0.4760531
CLTB	0.47598708
SERPINB13	0.47319874
NR2F2	0.47231844
MDH1	0.4722051
SEPT7	0.4702901
KRT10	0.46962318
NDRG1	0.46827498
RHOA	0.46722987
ISYNA1	0.4672283
TMEM59	0.46314716
CIB1	0.45863515
ATP5MF	0.45734534
C12orf57	0.4564498
H2AFJ	0.4559299
SLC25A4	0.45480177
