	gene
IFNB1	IFNB1
FAM19A2	FAM19A2
APOBEC3G	APOBEC3G
KRT79	KRT79
CNKSR3	CNKSR3
HHEX	HHEX
DCDC1	DCDC1
DACT2	DACT2
SERPINC1	SERPINC1
CCDC194	CCDC194
FUT6	FUT6
NADK	NADK
CYP4A22	CYP4A22
EXOSC6	EXOSC6
DPF2	DPF2
SIGIRR	SIGIRR
CCNJ	CCNJ
PSG5	PSG5
TNPO2	TNPO2
TMA16	TMA16
CACNA2D2	CACNA2D2
SLC5A2	SLC5A2
CFH	CFH
CDC25B	CDC25B
SAR1B	SAR1B
WDR77	WDR77
NDUFAF5	NDUFAF5
CLDN19	CLDN19
BPIFB1	BPIFB1
SLC2A6	SLC2A6
CDH11	CDH11
RBBP6	RBBP6
TMEM52B	TMEM52B
PTCH1	PTCH1
SWI5	SWI5
AC003002.3	AC003002.3
TLX1	TLX1
CDH8	CDH8
CD151	CD151
BRI3	BRI3
NR2F2	NR2F2
C1GALT1C1L	C1GALT1C1L
HLA-DQB1	HLA-DQB1
FAM136A	FAM136A
TMEM184C	TMEM184C
PPP1R2B	PPP1R2B
KARS	KARS
TWF2	TWF2
AC134669.1	AC134669.1
KIR2DL3	KIR2DL3
OR8D2	OR8D2
PEX12	PEX12
TM9SF2	TM9SF2
SPACA1	SPACA1
HTR3B	HTR3B
CPS1	CPS1
STK19	STK19
PROSER2	PROSER2
COPS7A	COPS7A
RGS9	RGS9
RAB1A	RAB1A
TEN1	TEN1
RETREG3	RETREG3
PPP3CB	PPP3CB
PBX1	PBX1
LTB	LTB
TSPAN32	TSPAN32
CBY3	CBY3
NEDD8-MDP1	NEDD8-MDP1
SLC36A4	SLC36A4
SPRY1	SPRY1
ORMDL3	ORMDL3
CSE1L	CSE1L
BCAS4	BCAS4
SLC6A9	SLC6A9
PNPLA8	PNPLA8
C8orf37	C8orf37
ANKRD16	ANKRD16
HSF4	HSF4
SH2D6	SH2D6
GNL1	GNL1
DYDC2	DYDC2
SLC22A9	SLC22A9
HYAL3	HYAL3
VLDLR	VLDLR
MAB21L2	MAB21L2
PDGFRA	PDGFRA
WNT2B	WNT2B
AL358113.1	AL358113.1
AKNA	AKNA
ACSM1	ACSM1
TRPC3	TRPC3
NKD1	NKD1
OR56B1	OR56B1
LY6D	LY6D
GNL2	GNL2
GBP4	GBP4
PRDM7	PRDM7
SLC6A1	SLC6A1
TSTD2	TSTD2
ZNF528	ZNF528
PKLR	PKLR
CHAC1	CHAC1
CALM2	CALM2
NIPSNAP3B	NIPSNAP3B
TARS	TARS
IL17RE	IL17RE
CASS4	CASS4
DNAJB6	DNAJB6
ATP2B1	ATP2B1
PWP1	PWP1
ERICH6B	ERICH6B
TRIM63	TRIM63
ADGRB1	ADGRB1
CHIC2	CHIC2
GIMAP4	GIMAP4
TP53TG3	TP53TG3
HSPH1	HSPH1
SNCG	SNCG
KIR3DL2	KIR3DL2
B4GALT3	B4GALT3
CIAPIN1	CIAPIN1
DYRK4	DYRK4
LAGE3	LAGE3
FN1	FN1
TPPP	TPPP
UBIAD1	UBIAD1
GBA2	GBA2
EHD3	EHD3
SPTBN4	SPTBN4
CLEC9A	CLEC9A
TESK2	TESK2
HIVEP1	HIVEP1
DHCR24	DHCR24
UGT2B15	UGT2B15
MLST8	MLST8
CCP110	CCP110
SIGLEC10	SIGLEC10
GABBR2	GABBR2
ZSCAN32	ZSCAN32
CREBL2	CREBL2
GCAT	GCAT
TARSL2	TARSL2
CCDC157	CCDC157
NKX2-1	NKX2-1
DOK6	DOK6
ANGPTL4	ANGPTL4
POPDC3	POPDC3
TMEM141	TMEM141
SLITRK5	SLITRK5
PPP5C	PPP5C
ANKRD9	ANKRD9
OR13A1	OR13A1
ZPBP2	ZPBP2
TBPL2	TBPL2
CYP3A43	CYP3A43
LRRC25	LRRC25
BAG2	BAG2
CYP27A1	CYP27A1
BCDIN3D	BCDIN3D
PITPNM2	PITPNM2
KCNK13	KCNK13
GNAI1	GNAI1
EXO1	EXO1
ATP1B4	ATP1B4
HES5	HES5
RAB40C	RAB40C
PDCD7	PDCD7
ZCWPW2	ZCWPW2
NRN1	NRN1
SLC22A5	SLC22A5
RANGAP1	RANGAP1
CDH24	CDH24
PSTPIP2	PSTPIP2
PSMB4	PSMB4
SYNRG	SYNRG
GRM5	GRM5
TRAM1	TRAM1
ZNF790	ZNF790
ZNF274	ZNF274
CCDC77	CCDC77
LAT	LAT
CHML	CHML
EPHA5	EPHA5
TOR1AIP2	TOR1AIP2
EDNRA	EDNRA
HINT1	HINT1
CYTH3	CYTH3
CLIP1	CLIP1
EXD3	EXD3
KLK4	KLK4
LAMA1	LAMA1
AP5B1	AP5B1
TRDN	TRDN
WRAP53	WRAP53
CCDC138	CCDC138
EGR3	EGR3
ZNF264	ZNF264
RAB11A	RAB11A
CFHR1	CFHR1
MAP3K11	MAP3K11
PAQR7	PAQR7
C7orf57	C7orf57
NR2F6	NR2F6
C2CD2	C2CD2
LTA4H	LTA4H
RGS6	RGS6
DPM3	DPM3
TSPAN31	TSPAN31
ZNF800	ZNF800
CHAF1A	CHAF1A
MEIOC	MEIOC
ARHGAP32	ARHGAP32
AGBL2	AGBL2
CCL28	CCL28
ZNF740	ZNF740
POP7	POP7
PGBD1	PGBD1
SNRPA1	SNRPA1
SH2D1A	SH2D1A
RPS6KB2	RPS6KB2
DMRTA1	DMRTA1
PHLDA2	PHLDA2
HTR1B	HTR1B
POM121	POM121
KCNH4	KCNH4
CST7	CST7
TMEM223	TMEM223
OSER1	OSER1
GNA11	GNA11
KCTD1	KCTD1
SELENOM	SELENOM
CASP14	CASP14
MRPL40	MRPL40
GAS6	GAS6
TEKT2	TEKT2
RUVBL2	RUVBL2
KLHL36	KLHL36
GRIN2C	GRIN2C
MAPK15	MAPK15
UBR3	UBR3
CTXN3	CTXN3
EFTUD2	EFTUD2
ASF1B	ASF1B
STS	STS
AURKA	AURKA
CD300LB	CD300LB
BBIP1	BBIP1
GPR158	GPR158
ANKRD54	ANKRD54
CPA5	CPA5
AK9	AK9
IL1F10	IL1F10
ZNF681	ZNF681
TOPBP1	TOPBP1
SLC20A2	SLC20A2
ANTXRL	ANTXRL
NUDT4	NUDT4
TEKT4	TEKT4
FAM129B	FAM129B
ACP6	ACP6
C1QBP	C1QBP
POU2F1	POU2F1
GHR	GHR
LAMA3	LAMA3
C1orf141	C1orf141
P4HA2	P4HA2
TRIO	TRIO
ATP23	ATP23
LYST	LYST
STARD6	STARD6
TTC34	TTC34
SPTSSB	SPTSSB
TEX10	TEX10
TMEM129	TMEM129
ZBTB38	ZBTB38
KIF1BP	KIF1BP
OSBPL6	OSBPL6
MICALL1	MICALL1
UTF1	UTF1
MTDH	MTDH
JMJD4	JMJD4
ABCB5	ABCB5
TLX2	TLX2
SLC25A46	SLC25A46
PMS1	PMS1
ACADL	ACADL
HLA-DQA1	HLA-DQA1
MYBPC3	MYBPC3
RANBP6	RANBP6
NUDCD2	NUDCD2
TEX30	TEX30
MYO1A	MYO1A
QTRT1	QTRT1
SLC35G3	SLC35G3
HOXB13	HOXB13
SKIDA1	SKIDA1
CCDC65	CCDC65
TBC1D19	TBC1D19
FGF11	FGF11
ZNF189	ZNF189
GNMT	GNMT
DIO3	DIO3
CLIP3	CLIP3
SKA3	SKA3
PSMD8	PSMD8
NPHP4	NPHP4
POLD3	POLD3
COX4I2	COX4I2
MICAL1	MICAL1
MDFIC	MDFIC
DSE	DSE
ARX	ARX
GRIPAP1	GRIPAP1
SPTY2D1	SPTY2D1
SZT2	SZT2
ATP6AP1	ATP6AP1
KLRG2	KLRG2
COL4A6	COL4A6
BHMG1	BHMG1
XRRA1	XRRA1
PABPC1L	PABPC1L
PICK1	PICK1
SRP19	SRP19
MINDY4B	MINDY4B
GMDS	GMDS
LILRB1	LILRB1
OTUD6B	OTUD6B
PSG9	PSG9
DBF4B	DBF4B
GSTA1	GSTA1
STATH	STATH
EPHB3	EPHB3
CDK5RAP2	CDK5RAP2
USP25	USP25
DTX3L	DTX3L
ACTB	ACTB
PHYKPL	PHYKPL
AGGF1	AGGF1
ITGA10	ITGA10
METTL5	METTL5
TBC1D3C	TBC1D3C
SLC35F5	SLC35F5
KDM2B	KDM2B
RPL37	RPL37
CENPH	CENPH
RNF4	RNF4
MAP2K6	MAP2K6
CD34	CD34
AUTS2	AUTS2
HIP1R	HIP1R
ZNF816	ZNF816
UNKL	UNKL
HIST1H2BB	HIST1H2BB
AP4B1	AP4B1
IP6K2	IP6K2
HGS	HGS
RAD18	RAD18
LRRC58	LRRC58
MYL5	MYL5
NFATC2	NFATC2
NTF4	NTF4
HDAC5	HDAC5
XRCC5	XRCC5
PCDHGB3	PCDHGB3
PPP4R3C	PPP4R3C
CCR8	CCR8
OTUD4	OTUD4
CD74	CD74
PLEKHO1	PLEKHO1
UBE2Q2	UBE2Q2
ATIC	ATIC
TECTA	TECTA
PSMA5	PSMA5
STX1B	STX1B
RILPL2	RILPL2
CCDC47	CCDC47
AC104389.5	AC104389.5
PAXIP1	PAXIP1
LIPH	LIPH
DPPA3	DPPA3
MTRF1L	MTRF1L
RAD51D	RAD51D
CYP1A2	CYP1A2
SNAP25	SNAP25
ZNF670	ZNF670
NWD2	NWD2
OCM	OCM
IL16	IL16
IL17A	IL17A
XRCC1	XRCC1
SNRPC	SNRPC
FMC1	FMC1
DNASE2	DNASE2
CCDC137	CCDC137
TSPAN19	TSPAN19
KCNJ6	KCNJ6
LUC7L3	LUC7L3
TTLL12	TTLL12
MBOAT4	MBOAT4
USH2A	USH2A
ST7	ST7
PEX6	PEX6
EFR3B	EFR3B
SLC17A8	SLC17A8
LIPK	LIPK
GPCPD1	GPCPD1
FAM3B	FAM3B
NMNAT1	NMNAT1
CDK5RAP3	CDK5RAP3
MGST2	MGST2
CUL7	CUL7
NMB	NMB
SMAD7	SMAD7
GPR176	GPR176
CDK7	CDK7
LAMTOR5	LAMTOR5
PPM1M	PPM1M
KLHL15	KLHL15
TMOD1	TMOD1
OPCML	OPCML
URAD	URAD
GALNT14	GALNT14
IQCM	IQCM
CABP7	CABP7
CHD9	CHD9
TMEM266	TMEM266
NPPC	NPPC
TMEM179	TMEM179
EMC6	EMC6
AC131097.2	AC131097.2
MIA	MIA
C12orf57	C12orf57
PRKCB	PRKCB
CLASP1	CLASP1
GGACT	GGACT
MNDA	MNDA
ING3	ING3
ACIN1	ACIN1
NTNG1	NTNG1
NPNT	NPNT
SCN1B	SCN1B
SPRYD4	SPRYD4
GON7	GON7
PHYH	PHYH
ABCC9	ABCC9
PIP4P2	PIP4P2
SMIM7	SMIM7
ASB7	ASB7
NSFL1C	NSFL1C
CSTA	CSTA
NRROS	NRROS
TRDV1	TRDV1
ZNF250	ZNF250
YTHDF1	YTHDF1
VWC2	VWC2
MAP4K2	MAP4K2
TENM2	TENM2
SIK1	SIK1
MAP1LC3B2	MAP1LC3B2
LILRB3	LILRB3
AC108868.1	AC108868.1
IL18BP	IL18BP
CCL26	CCL26
HIST1H4I	HIST1H4I
MRPS26	MRPS26
UPF3B	UPF3B
ADRA2C	ADRA2C
MAGEE2	MAGEE2
MS4A6A	MS4A6A
THOC7	THOC7
FSTL3	FSTL3
ALPK2	ALPK2
CNR1	CNR1
IDUA	IDUA
PANX2	PANX2
LBP	LBP
TNKS2	TNKS2
CLDN5	CLDN5
UQCRB	UQCRB
PCDHA11	PCDHA11
ZNF217	ZNF217
PPP1R18	PPP1R18
LMNA	LMNA
NFX1	NFX1
SCART1	SCART1
EGFLAM	EGFLAM
CAPSL	CAPSL
MED14	MED14
CSDC2	CSDC2
HPSE	HPSE
RELL1	RELL1
LHX5	LHX5
C2orf49	C2orf49
WBP4	WBP4
CADM1	CADM1
PTRH1	PTRH1
PPIB	PPIB
KCTD16	KCTD16
POLR2J	POLR2J
SBK1	SBK1
ANKRD45	ANKRD45
TMEM160	TMEM160
ZPR1	ZPR1
TRPT1	TRPT1
CCDC83	CCDC83
NUP50	NUP50
BNC1	BNC1
COL6A6	COL6A6
ESM1	ESM1
ABCD2	ABCD2
MT1HL1	MT1HL1
TEX46	TEX46
SOGA3	SOGA3
CD200R1L	CD200R1L
CHCHD4	CHCHD4
TCP10L	TCP10L
NUMBL	NUMBL
INSL6	INSL6
PRKRIP1	PRKRIP1
U2AF2	U2AF2
WNK2	WNK2
GM2A	GM2A
UBALD2	UBALD2
HSD17B1	HSD17B1
FUCA2	FUCA2
FEN1	FEN1
TBX2	TBX2
DISP1	DISP1
HR	HR
CD84	CD84
BCL10	BCL10
GSTP1	GSTP1
KCTD8	KCTD8
MAP3K10	MAP3K10
PIGH	PIGH
FAM189A2	FAM189A2
UCP2	UCP2
SMIM36	SMIM36
IL33	IL33
XIRP1	XIRP1
GPR179	GPR179
C17orf78	C17orf78
FCGR2B	FCGR2B
TSTD3	TSTD3
RNPEP	RNPEP
TOX3	TOX3
ELOVL5	ELOVL5
CLIC5	CLIC5
FARP1	FARP1
NCOA7	NCOA7
NLRP1	NLRP1
ARHGAP11B	ARHGAP11B
ZNF830	ZNF830
PHETA2	PHETA2
TMEM268	TMEM268
ARHGEF35	ARHGEF35
CACNA2D4	CACNA2D4
DIDO1	DIDO1
HFM1	HFM1
RIPOR3	RIPOR3
MUTYH	MUTYH
KIF3B	KIF3B
CLN8	CLN8
ZXDC	ZXDC
UPB1	UPB1
GBF1	GBF1
HEATR9	HEATR9
AC126614.1	AC126614.1
PEX3	PEX3
PPP1R12B	PPP1R12B
CAPN5	CAPN5
CHFR	CHFR
HPS6	HPS6
UGGT1	UGGT1
LTB4R2	LTB4R2
FADS1	FADS1
MEPE	MEPE
GLP2R	GLP2R
TXNIP	TXNIP
ZNF616	ZNF616
SLFN5	SLFN5
OR7E24	OR7E24
CLEC2B	CLEC2B
TRAF2	TRAF2
PCDHGB1	PCDHGB1
LRP1B	LRP1B
BEX4	BEX4
DRAP1	DRAP1
ATOH8	ATOH8
CERS2	CERS2
FZD9	FZD9
DSG3	DSG3
KIF7	KIF7
PARG	PARG
TRPV1	TRPV1
FCAMR	FCAMR
GEMIN5	GEMIN5
SLC11A1	SLC11A1
GATAD1	GATAD1
MFSD8	MFSD8
ITGB1	ITGB1
RIOK3	RIOK3
VPS16	VPS16
SPRR2G	SPRR2G
ECSCR	ECSCR
DEK	DEK
PHF12	PHF12
AC010616.1	AC010616.1
PIP5K1B	PIP5K1B
SAXO2	SAXO2
CNOT6L	CNOT6L
TBKBP1	TBKBP1
TMEM60	TMEM60
TGOLN2	TGOLN2
TULP4	TULP4
CD200R1	CD200R1
GEMIN4	GEMIN4
GTPBP10	GTPBP10
TRIM33	TRIM33
TMEM241	TMEM241
MAST4	MAST4
PLK3	PLK3
CARD11	CARD11
TUB	TUB
LIN37	LIN37
RHBDF2	RHBDF2
MFAP2	MFAP2
ZNF331	ZNF331
CCDC120	CCDC120
FRYL	FRYL
RBM43	RBM43
HSPA4	HSPA4
EIF3G	EIF3G
MGAT3	MGAT3
SRRM5	SRRM5
GTPBP1	GTPBP1
EGFR	EGFR
BCL2L2-PABPN1	BCL2L2-PABPN1
EMX1	EMX1
ZNF512B	ZNF512B
NLGN3	NLGN3
KYAT3	KYAT3
CARM1	CARM1
ATRIP	ATRIP
KLC4	KLC4
TRIM3	TRIM3
NDUFAF7	NDUFAF7
ITIH1	ITIH1
PIGBOS1	PIGBOS1
FHL3	FHL3
HERPUD2	HERPUD2
CCDC181	CCDC181
KIZ	KIZ
PON1	PON1
GCFC2	GCFC2
C7orf33	C7orf33
RAB5C	RAB5C
RELB	RELB
STK3	STK3
PROC	PROC
CCZ1	CCZ1
POLDIP3	POLDIP3
MYO1B	MYO1B
COL15A1	COL15A1
NIFK	NIFK
RPEL1	RPEL1
PCCB	PCCB
ZMYM1	ZMYM1
CHP1	CHP1
AL049779.1	AL049779.1
MBIP	MBIP
TMPO	TMPO
C1QL3	C1QL3
CREB3L4	CREB3L4
RNF43	RNF43
MYT1L	MYT1L
RASGRP1	RASGRP1
SLC31A1	SLC31A1
IQSEC3	IQSEC3
TCEA2	TCEA2
IFNK	IFNK
ATG9B	ATG9B
F8	F8
TBC1D24	TBC1D24
COL11A1	COL11A1
KHDRBS1	KHDRBS1
TRADD	TRADD
CCDC192	CCDC192
S100A2	S100A2
SLC18A2	SLC18A2
NCEH1	NCEH1
DNAJC7	DNAJC7
NME8	NME8
SOX7	SOX7
GPATCH8	GPATCH8
LRRC34	LRRC34
WDR7	WDR7
MPV17	MPV17
XG	XG
CD37	CD37
KIAA0100	KIAA0100
NVL	NVL
ZBTB25	ZBTB25
OR4D9	OR4D9
PCDHA5	PCDHA5
RHEX	RHEX
GPANK1	GPANK1
CMTM5	CMTM5
NCMAP	NCMAP
C3	C3
SRPRB	SRPRB
POU3F1	POU3F1
SLC27A1	SLC27A1
NOL4	NOL4
IQCN	IQCN
EZH1	EZH1
HTD2	HTD2
TSACC	TSACC
PYGL	PYGL
SLC19A3	SLC19A3
ICK	ICK
MMP24	MMP24
DZIP3	DZIP3
C17orf113	C17orf113
RABGAP1	RABGAP1
KRTAP4-6	KRTAP4-6
HENMT1	HENMT1
NAGK	NAGK
HSPA9	HSPA9
MED26	MED26
KCP	KCP
LMOD3	LMOD3
CC2D1B	CC2D1B
STRIP1	STRIP1
FGB	FGB
MMD	MMD
PLEK2	PLEK2
METTL2B	METTL2B
TNFRSF10C	TNFRSF10C
SLC4A4	SLC4A4
RPS15A	RPS15A
RBBP8NL	RBBP8NL
LUC7L2	LUC7L2
MBTPS1	MBTPS1
RNF207	RNF207
CHRDL2	CHRDL2
PXMP2	PXMP2
LGALS13	LGALS13
RAB3IL1	RAB3IL1
CPPED1	CPPED1
ENPP1	ENPP1
SOX18	SOX18
ARMC9	ARMC9
S100A6	S100A6
AQP1	AQP1
AC009119.2	AC009119.2
PRDX3	PRDX3
MARK3	MARK3
DMTF1	DMTF1
ADAMTS12	ADAMTS12
AJUBA	AJUBA
LRRC41	LRRC41
CCDC71	CCDC71
GCOM1	GCOM1
GAMT	GAMT
CTSG	CTSG
PDE8B	PDE8B
CGB7	CGB7
FAM86B1	FAM86B1
GPR180	GPR180
SMC1A	SMC1A
PRG2	PRG2
HDX	HDX
FXR1	FXR1
MAG	MAG
NOC3L	NOC3L
LMAN1L	LMAN1L
CRYGD	CRYGD
FAM92B	FAM92B
BORCS8	BORCS8
PCDHGB4	PCDHGB4
SMIM18	SMIM18
MMRN1	MMRN1
SPDYA	SPDYA
TSKS	TSKS
GKN1	GKN1
PANK2	PANK2
ATRN	ATRN
VSIR	VSIR
DPPA2	DPPA2
PTGES	PTGES
CSDE1	CSDE1
ZMIZ1	ZMIZ1
TMEM126A	TMEM126A
NUGGC	NUGGC
EPB41L4A	EPB41L4A
ATXN2L	ATXN2L
FAM162B	FAM162B
LRRC57	LRRC57
PEBP4	PEBP4
UHRF1BP1L	UHRF1BP1L
AHI1	AHI1
HAUS6	HAUS6
MTHFD2L	MTHFD2L
TMEM63C	TMEM63C
DIRAS3	DIRAS3
CTAGE8	CTAGE8
UHRF2	UHRF2
TCTA	TCTA
UGT1A6	UGT1A6
ACADVL	ACADVL
GAS8	GAS8
FAM200B	FAM200B
AC025287.4	AC025287.4
ASB15	ASB15
TEX9	TEX9
ZNF571	ZNF571
SS18L2	SS18L2
TRIM15	TRIM15
SLC6A6	SLC6A6
PRKCD	PRKCD
CES5A	CES5A
PGAM1	PGAM1
TSPAN18	TSPAN18
VSTM2B	VSTM2B
ASCL2	ASCL2
SPOP	SPOP
OVOL1	OVOL1
CA8	CA8
GABRE	GABRE
WRN	WRN
VAMP7	VAMP7
CP	CP
CMC4	CMC4
CCDC28A	CCDC28A
UBC	UBC
PIK3CB	PIK3CB
DCTN5	DCTN5
GADD45B	GADD45B
BRWD1	BRWD1
RAD52	RAD52
CXCR5	CXCR5
FBN2	FBN2
SLC27A4	SLC27A4
CHL1	CHL1
SLC35G6	SLC35G6
FBL	FBL
DHRSX	DHRSX
SRSF2	SRSF2
PDCD1	PDCD1
ZNF138	ZNF138
SPATA7	SPATA7
CELA1	CELA1
GPR143	GPR143
ACSL1	ACSL1
CCDC8	CCDC8
CD101	CD101
THEM4	THEM4
GRIK1	GRIK1
LRRC36	LRRC36
HOXB9	HOXB9
TNNI1	TNNI1
WASHC1	WASHC1
PCDHB8	PCDHB8
SIPA1	SIPA1
INPP1	INPP1
APH1B	APH1B
AGFG1	AGFG1
BCAN	BCAN
SLC35B3	SLC35B3
LYPD6	LYPD6
SBDS	SBDS
IL1RAPL1	IL1RAPL1
NSUN7	NSUN7
TP53	TP53
PTX4	PTX4
ZNF879	ZNF879
CABLES1	CABLES1
ZNF425	ZNF425
MCM10	MCM10
RHBG	RHBG
ZNF529	ZNF529
ZXDA	ZXDA
ADAM28	ADAM28
AL049840.1	AL049840.1
AKAP17A	AKAP17A
BLVRB	BLVRB
ACCS	ACCS
BMP3	BMP3
NELL2	NELL2
FXYD6-FXYD2	FXYD6-FXYD2
SLC23A1	SLC23A1
ARMC12	ARMC12
CD164L2	CD164L2
AL118506.1	AL118506.1
CARHSP1	CARHSP1
PSMD3	PSMD3
EFCAB12	EFCAB12
AC021072.1	AC021072.1
CASKIN1	CASKIN1
MON2	MON2
SAA2	SAA2
PRSS58	PRSS58
METTL23	METTL23
RBPJL	RBPJL
NBEA	NBEA
LZTS2	LZTS2
FDFT1	FDFT1
DPM2	DPM2
HARBI1	HARBI1
POLDIP2	POLDIP2
PPP1R13L	PPP1R13L
SYT4	SYT4
RBBP4	RBBP4
HAUS8	HAUS8
MYOD1	MYOD1
DYRK1B	DYRK1B
CYTL1	CYTL1
CDYL	CDYL
AGPAT1	AGPAT1
RICTOR	RICTOR
PDK4	PDK4
PTRHD1	PTRHD1
TMEM110-MUSTN1	TMEM110-MUSTN1
ZNF621	ZNF621
KRTAP4-4	KRTAP4-4
SIPA1L3	SIPA1L3
CPLANE2	CPLANE2
ZNFX1	ZNFX1
ZNF253	ZNF253
TPM4	TPM4
SYNGR2	SYNGR2
ASNA1	ASNA1
SCYGR4	SCYGR4
PDCD1LG2	PDCD1LG2
PALM3	PALM3
STAT3	STAT3
POLE	POLE
RUNX1T1	RUNX1T1
KIAA1324L	KIAA1324L
NUDT2	NUDT2
CENPE	CENPE
ZSWIM9	ZSWIM9
GRIP2	GRIP2
GNAQ	GNAQ
LMNB1	LMNB1
MAGEB16	MAGEB16
RAMP2	RAMP2
OXLD1	OXLD1
EAF1	EAF1
MON1A	MON1A
PODN	PODN
GMPR	GMPR
GHITM	GHITM
NUP37	NUP37
MINDY2	MINDY2
SCAF1	SCAF1
EBP	EBP
GNGT1	GNGT1
TAF1A	TAF1A
PTEN	PTEN
SERPINB4	SERPINB4
BCKDHA	BCKDHA
ECHS1	ECHS1
THBS1	THBS1
CEP170B	CEP170B
RRM1	RRM1
CCDC71L	CCDC71L
FAAP100	FAAP100
HOXD13	HOXD13
CREB3	CREB3
RPLP1	RPLP1
SLC29A4	SLC29A4
MILR1	MILR1
EIF2B1	EIF2B1
GPR82	GPR82
ULK3	ULK3
MBD2	MBD2
ASIP	ASIP
TPBG	TPBG
VPS25	VPS25
ASS1	ASS1
OR52N4	OR52N4
PRSS21	PRSS21
BOC	BOC
SLC20A1	SLC20A1
STX5	STX5
PTPN12	PTPN12
PRRC1	PRRC1
PDSS2	PDSS2
NSF	NSF
ZDHHC17	ZDHHC17
TBC1D5	TBC1D5
KDM5B	KDM5B
ARL2BP	ARL2BP
C3orf49	C3orf49
NAA15	NAA15
ADCY10	ADCY10
PNPO	PNPO
OSBPL10	OSBPL10
HCAR2	HCAR2
PTK2B	PTK2B
AEBP2	AEBP2
KIAA1324	KIAA1324
PPM1D	PPM1D
TAL1	TAL1
SRP68	SRP68
CDK5RAP1	CDK5RAP1
GZMA	GZMA
SERPINE3	SERPINE3
MT-CYB	MT-CYB
ZCCHC10	ZCCHC10
PLAUR	PLAUR
AC002451.1	AC002451.1
OR10G3	OR10G3
CFAP44	CFAP44
ZNF345	ZNF345
IGSF10	IGSF10
COPS2	COPS2
JHY	JHY
USO1	USO1
PLEKHJ1	PLEKHJ1
TGIF2	TGIF2
TCEAL6	TCEAL6
SYTL1	SYTL1
OPA1	OPA1
NLRP11	NLRP11
MS4A15	MS4A15
ZKSCAN4	ZKSCAN4
ZC3HC1	ZC3HC1
SMIM1	SMIM1
C1orf35	C1orf35
ZNF429	ZNF429
PXN	PXN
PTPN7	PTPN7
HLTF	HLTF
UGDH	UGDH
PSMA7	PSMA7
LRRC4B	LRRC4B
KDELC2	KDELC2
SIAH1	SIAH1
BCL11A	BCL11A
FAU	FAU
TC2N	TC2N
OIT3	OIT3
AP001273.2	AP001273.2
PTGS1	PTGS1
VPS13B	VPS13B
B4GALT4	B4GALT4
INIP	INIP
TMEM8B	TMEM8B
KCNE4	KCNE4
HASPIN	HASPIN
PGM1	PGM1
TMCO2	TMCO2
SMURF1	SMURF1
MET	MET
AC024592.3	AC024592.3
PRKG2	PRKG2
GDF5	GDF5
SIRT5	SIRT5
RBAK	RBAK
ANXA8L1	ANXA8L1
LZIC	LZIC
SLC11A2	SLC11A2
NECTIN3	NECTIN3
MMP25	MMP25
LRGUK	LRGUK
TRPC6	TRPC6
DTD2	DTD2
SLC25A20	SLC25A20
SEC23IP	SEC23IP
FCHO2	FCHO2
COG1	COG1
APOC3	APOC3
DUSP2	DUSP2
RAPH1	RAPH1
OTUD7B	OTUD7B
MTTP	MTTP
GABARAPL2	GABARAPL2
ADAM32	ADAM32
IK	IK
PVALEF	PVALEF
TAX1BP1	TAX1BP1
DOCK1	DOCK1
PRSS23	PRSS23
SLC4A5	SLC4A5
SYDE1	SYDE1
FAM153C	FAM153C
TMEM262	TMEM262
NEK10	NEK10
CCER2	CCER2
BCL2L1	BCL2L1
NHLRC2	NHLRC2
CFAP73	CFAP73
EN1	EN1
COL25A1	COL25A1
KCNK6	KCNK6
WNT9A	WNT9A
SNX12	SNX12
METTL4	METTL4
MXD3	MXD3
ENOSF1	ENOSF1
VHLL	VHLL
RAG2	RAG2
CD6	CD6
BIRC3	BIRC3
SLC24A3	SLC24A3
IL17RA	IL17RA
CEBPZOS	CEBPZOS
FASLG	FASLG
STARD3	STARD3
SDC2	SDC2
EPPK1	EPPK1
FCER1A	FCER1A
IGSF23	IGSF23
RAB22A	RAB22A
FAM92A	FAM92A
CA10	CA10
PIK3R5	PIK3R5
FUT8	FUT8
WWOX	WWOX
RSRP1	RSRP1
AC011479.1	AC011479.1
KCNN3	KCNN3
WDR12	WDR12
STK39	STK39
SLC39A11	SLC39A11
C10orf55	C10orf55
UBFD1	UBFD1
RAB34	RAB34
CPLX1	CPLX1
ETNK2	ETNK2
TTK	TTK
TEX45	TEX45
CDK2AP1	CDK2AP1
CDX2	CDX2
IDO2	IDO2
C19orf44	C19orf44
VAMP2	VAMP2
RGS11	RGS11
SLC5A8	SLC5A8
EEF1AKMT3	EEF1AKMT3
MYL4	MYL4
FGGY	FGGY
MT-ND5	MT-ND5
IQUB	IQUB
FAM222A	FAM222A
AL355916.2	AL355916.2
ABHD10	ABHD10
FAM156A	FAM156A
LHX9	LHX9
C12orf49	C12orf49
GLOD5	GLOD5
PNMA8A	PNMA8A
ZFYVE21	ZFYVE21
AC005606.1	AC005606.1
FAM102A	FAM102A
SULT1A3	SULT1A3
GTDC1	GTDC1
EPN1	EPN1
ATOH7	ATOH7
ZCCHC3	ZCCHC3
TEX28	TEX28
ADGRF2	ADGRF2
DLC1	DLC1
AK8	AK8
TADA2A	TADA2A
KCNT1	KCNT1
NPC1L1	NPC1L1
ZNF805	ZNF805
ACLY	ACLY
MIB2	MIB2
DHX16	DHX16
TMEM150B	TMEM150B
MPZL3	MPZL3
IER5L	IER5L
