	gene
C15orf53	C15orf53
SFTPB	SFTPB
SLC5A12	SLC5A12
REM2	REM2
DNER	DNER
ABLIM3	ABLIM3
HTR2B	HTR2B
COG7	COG7
GPX3	GPX3
LPXN	LPXN
ZNF623	ZNF623
OSCP1	OSCP1
UBD	UBD
ITGA9	ITGA9
RPP14	RPP14
SHF	SHF
PSME3	PSME3
RAB33B	RAB33B
TUBB8	TUBB8
INTS10	INTS10
SAMD1	SAMD1
PKP2	PKP2
CA12	CA12
PXMP4	PXMP4
EMC9	EMC9
TMED10	TMED10
HDAC9	HDAC9
HLA-DQA2	HLA-DQA2
TNNI2	TNNI2
OR6A2	OR6A2
REXO2	REXO2
