	tsp_mRNA
PRB2	PRB2
CFL2	CFL2
LRRC70	LRRC70
CARD8	CARD8
AHCTF1	AHCTF1
TTPAL	TTPAL
SMAD9	SMAD9
CHAMP1	CHAMP1
DESI1	DESI1
DNAJB1	DNAJB1
CCDC12	CCDC12
OSCP1	OSCP1
OR4N5	OR4N5
C14orf132	C14orf132
RUFY3	RUFY3
CEACAM19	CEACAM19
INPP4A	INPP4A
FAM136A	FAM136A
TNMD	TNMD
MAEL	MAEL
PPARGC1A	PPARGC1A
PLPPR3	PLPPR3
AGO3	AGO3
DTX3	DTX3
ERC1	ERC1
CREM	CREM
AC016745.1	AC016745.1
LIPN	LIPN
SKA3	SKA3
VAMP7	VAMP7
TPM2	TPM2
SLC26A5	SLC26A5
LRP1	LRP1
AC099344.1	AC099344.1
FZD5	FZD5
ZSWIM7	ZSWIM7
DHRSX	DHRSX
MEGF9	MEGF9
C6orf136	C6orf136
DPYSL4	DPYSL4
BAG3	BAG3
TM9SF3	TM9SF3
SH2D1B	SH2D1B
GNAI1	GNAI1
TRAPPC1	TRAPPC1
ZFP14	ZFP14
ZNF461	ZNF461
TMEM268	TMEM268
PDE5A	PDE5A
GSTM2	GSTM2
STIM2	STIM2
CA13	CA13
MYL3	MYL3
FANCD2OS	FANCD2OS
TFB1M	TFB1M
GNG8	GNG8
ZNF106	ZNF106
RGPD1	RGPD1
OVCH1	OVCH1
MAP10	MAP10
INTS6	INTS6
CPQ	CPQ
LCNL1	LCNL1
SAA2-SAA4	SAA2-SAA4
IFITM5	IFITM5
DEFB132	DEFB132
HIST4H4	HIST4H4
OR8G5	OR8G5
C1orf105	C1orf105
KIRREL3	KIRREL3
C1orf54	C1orf54
NFATC4	NFATC4
GSAP	GSAP
OR2C1	OR2C1
RFX2	RFX2
OLFM4	OLFM4
FAM126B	FAM126B
MLH3	MLH3
OSER1	OSER1
NR0B1	NR0B1
TMCO2	TMCO2
PRDM8	PRDM8
DCAKD	DCAKD
ZNF174	ZNF174
ENTPD6	ENTPD6
IL4	IL4
INO80C	INO80C
SLC1A2	SLC1A2
DSTYK	DSTYK
ATP5MG	ATP5MG
SERHL2	SERHL2
BEX2	BEX2
CTSL	CTSL
PRR35	PRR35
ALG10B	ALG10B
CCKAR	CCKAR
KDM5B	KDM5B
KLHL15	KLHL15
EMC7	EMC7
LY6G6F	LY6G6F
JAML	JAML
DEAF1	DEAF1
SMIM14	SMIM14
CNGA4	CNGA4
VANGL1	VANGL1
FBXL19	FBXL19
CNFN	CNFN
IDE	IDE
TARSL2	TARSL2
PDZD8	PDZD8
KLHL2	KLHL2
IRF6	IRF6
WAS	WAS
ZC3H12B	ZC3H12B
SYT16	SYT16
EMX2	EMX2
NFS1	NFS1
RGS12	RGS12
CLCNKA	CLCNKA
ACTR3	ACTR3
ZNF718	ZNF718
RCN1	RCN1
AL031590.1	AL031590.1
ANGEL1	ANGEL1
ASGR2	ASGR2
GTF2E2	GTF2E2
GALNT13	GALNT13
POU5F2	POU5F2
OR2B3	OR2B3
SBK3	SBK3
YES1	YES1
SLC5A10	SLC5A10
HIST1H2BL	HIST1H2BL
LARGE2	LARGE2
PSG4	PSG4
HNRNPU	HNRNPU
ZDHHC5	ZDHHC5
FAM71C	FAM71C
AL512785.2	AL512785.2
PRRC2C	PRRC2C
SCML2	SCML2
NFX1	NFX1
NUAK2	NUAK2
ZNF45	ZNF45
LY6H	LY6H
DMAC1	DMAC1
STMN3	STMN3
LMNTD1	LMNTD1
CDH2	CDH2
ADAD2	ADAD2
BLOC1S4	BLOC1S4
C2orf49	C2orf49
SARS2	SARS2
VCX3B	VCX3B
CYP3A43	CYP3A43
ANKRD23	ANKRD23
DCAF4L1	DCAF4L1
AC092835.1	AC092835.1
AGPAT4	AGPAT4
SAMD7	SAMD7
C4orf47	C4orf47
COL26A1	COL26A1
ASB16	ASB16
WEE1	WEE1
ACSS2	ACSS2
KLK9	KLK9
GHITM	GHITM
HAND2	HAND2
HDAC2	HDAC2
LHX4	LHX4
FUK	FUK
NFATC2	NFATC2
ADGRE2	ADGRE2
PCP4	PCP4
AC111200.1	AC111200.1
DYSF	DYSF
C22orf31	C22orf31
TRIM13	TRIM13
CCDC70	CCDC70
P3H2	P3H2
SHKBP1	SHKBP1
BRD7	BRD7
THAP11	THAP11
AKR1E2	AKR1E2
WHRN	WHRN
BLMH	BLMH
VPREB1	VPREB1
EXOC2	EXOC2
LCE4A	LCE4A
KDM6A	KDM6A
TNNI3K	TNNI3K
PIGV	PIGV
NPS	NPS
ZNF506	ZNF506
ZBED4	ZBED4
CMSS1	CMSS1
TFCP2L1	TFCP2L1
AL645941.2	AL645941.2
TCTEX1D2	TCTEX1D2
KCNJ9	KCNJ9
PDE6B	PDE6B
RPUSD3	RPUSD3
MRPS34	MRPS34
MPL	MPL
TRIR	TRIR
ENTPD5	ENTPD5
DMTF1	DMTF1
ZFYVE27	ZFYVE27
INSM1	INSM1
GDF3	GDF3
PSPN	PSPN
ACADVL	ACADVL
UBE2G1	UBE2G1
KCND3	KCND3
IFNL2	IFNL2
NAPSA	NAPSA
SERPINB13	SERPINB13
DNAJA2	DNAJA2
L1TD1	L1TD1
CRELD1	CRELD1
NDUFV3	NDUFV3
CYP2W1	CYP2W1
SEC16A	SEC16A
RBMS1	RBMS1
AC104109.3	AC104109.3
FGD6	FGD6
SPATA16	SPATA16
HOXD11	HOXD11
CDY2B	CDY2B
TMEM74B	TMEM74B
PPIAL4E	PPIAL4E
PUS1	PUS1
METTL7A	METTL7A
SUCLA2	SUCLA2
MPV17L	MPV17L
SIX6	SIX6
CDKN2A	CDKN2A
RICTOR	RICTOR
CNGA2	CNGA2
AFF4	AFF4
KCNV1	KCNV1
GPAT2	GPAT2
WDR13	WDR13
KIF2A	KIF2A
MFSD12	MFSD12
KIF3A	KIF3A
SSU72P8	SSU72P8
TENT2	TENT2
NUAK1	NUAK1
OR1D5	OR1D5
PLA2G4C	PLA2G4C
WBP2	WBP2
RHOXF2B	RHOXF2B
CLU	CLU
MLEC	MLEC
ME1	ME1
GSPT2	GSPT2
PPP1R14B	PPP1R14B
RPAP3	RPAP3
FOSL2	FOSL2
DEFA4	DEFA4
SAT1	SAT1
PDIA5	PDIA5
AC138517.1	AC138517.1
HIST1H1B	HIST1H1B
SSRP1	SSRP1
RBP3	RBP3
RTP4	RTP4
GPC3	GPC3
GNA14	GNA14
SLF1	SLF1
RPGRIP1	RPGRIP1
RAMACL	RAMACL
KCNH8	KCNH8
FBXL17	FBXL17
NFYB	NFYB
MGAT2	MGAT2
ZDHHC3	ZDHHC3
WDR45	WDR45
GPR42	GPR42
AIFM1	AIFM1
HCN4	HCN4
S1PR3	S1PR3
PNMA6A	PNMA6A
FAIM2	FAIM2
SLC22A11	SLC22A11
TNFAIP2	TNFAIP2
ARRDC2	ARRDC2
MSTO1	MSTO1
MORN4	MORN4
FGF3	FGF3
GIMAP7	GIMAP7
QRSL1	QRSL1
SPRYD4	SPRYD4
PPP2R5B	PPP2R5B
HBD	HBD
KLHL6	KLHL6
CFAP69	CFAP69
MEF2B	MEF2B
CHTF18	CHTF18
NOM1	NOM1
SLC12A2	SLC12A2
PAX2	PAX2
OR1S2	OR1S2
UBA52	UBA52
TBC1D3L	TBC1D3L
RNASEK	RNASEK
WFDC11	WFDC11
IPP	IPP
RHOJ	RHOJ
AC135048.1	AC135048.1
ZFYVE9	ZFYVE9
MBOAT2	MBOAT2
ALDH5A1	ALDH5A1
PLGLB1	PLGLB1
MED4	MED4
ZNF497	ZNF497
ZNF613	ZNF613
RHOXF1	RHOXF1
VXN	VXN
DMRTB1	DMRTB1
MT1H	MT1H
TMEM150A	TMEM150A
BAZ2B	BAZ2B
PCDHGC5	PCDHGC5
PGR	PGR
AC011755.1	AC011755.1
SOX18	SOX18
SUPT4H1	SUPT4H1
TUBB	TUBB
GPR33	GPR33
TMEM163	TMEM163
ST3GAL6	ST3GAL6
RGS16	RGS16
TPSG1	TPSG1
NFE2L3	NFE2L3
SMIM15	SMIM15
EIF4A3	EIF4A3
DEPDC1B	DEPDC1B
ZFYVE1	ZFYVE1
HIST2H4A	HIST2H4A
TTC23L	TTC23L
GRIA3	GRIA3
SPRR4	SPRR4
SLC2A2	SLC2A2
KLHDC10	KLHDC10
SMYD2	SMYD2
AGPAT3	AGPAT3
PLIN1	PLIN1
MAP1A	MAP1A
FAM117B	FAM117B
MYEF2	MYEF2
ERICH6B	ERICH6B
IFNA16	IFNA16
MARCH10	MARCH10
TMEM109	TMEM109
CXCL11	CXCL11
ADAM10	ADAM10
BAG2	BAG2
CYBRD1	CYBRD1
SLC39A7	SLC39A7
NSD2	NSD2
SSTR1	SSTR1
ALOX15B	ALOX15B
FAM187A	FAM187A
CDK12	CDK12
PSD2	PSD2
EIF4A2	EIF4A2
FOXN1	FOXN1
RNF14	RNF14
MTRNR2L10	MTRNR2L10
RGS4	RGS4
TXNRD3	TXNRD3
EMD	EMD
GALNTL6	GALNTL6
LILRA2	LILRA2
KCNQ2	KCNQ2
PCDHGA1	PCDHGA1
PRSS53	PRSS53
ZNF28	ZNF28
MED13L	MED13L
PI3	PI3
COLQ	COLQ
HTR3E	HTR3E
PPEF1	PPEF1
PALM3	PALM3
ULK2	ULK2
CXCL12	CXCL12
LAMA1	LAMA1
SERGEF	SERGEF
SEC22A	SEC22A
ACOX3	ACOX3
FAM186A	FAM186A
HELZ2	HELZ2
SAMD9L	SAMD9L
TMEM39A	TMEM39A
ATP23	ATP23
SPIN2A	SPIN2A
MLPH	MLPH
FAM189A2	FAM189A2
CCDC92	CCDC92
GPR39	GPR39
FOLH1	FOLH1
FBXO28	FBXO28
LRFN1	LRFN1
NR1I3	NR1I3
PTPRF	PTPRF
FBXO7	FBXO7
TSPY8	TSPY8
FXYD5	FXYD5
NHSL1	NHSL1
HLA-DMB	HLA-DMB
TUBE1	TUBE1
TCEAL4	TCEAL4
KLKB1	KLKB1
TRIM5	TRIM5
CPNE3	CPNE3
MSH2	MSH2
NKX6-3	NKX6-3
MRPL15	MRPL15
EPO	EPO
PRELP	PRELP
FRRS1L	FRRS1L
MARF1	MARF1
EIF2B1	EIF2B1
AL627309.1	AL627309.1
KLK8	KLK8
CCDC180	CCDC180
TMEM192	TMEM192
FDX2	FDX2
PTGDR2	PTGDR2
OR51B2	OR51B2
UBB	UBB
NPAS1	NPAS1
ACTL7B	ACTL7B
ISCA1	ISCA1
ZSCAN5B	ZSCAN5B
NEK5	NEK5
GPAT4	GPAT4
P4HTM	P4HTM
RTL8B	RTL8B
GABRR2	GABRR2
MTR	MTR
LIPT2	LIPT2
TOP3A	TOP3A
POM121L2	POM121L2
MEIS3	MEIS3
MAEA	MAEA
SIKE1	SIKE1
ESRRB	ESRRB
NAB1	NAB1
NAT2	NAT2
GOLGA8H	GOLGA8H
PCDHA2	PCDHA2
NOLC1	NOLC1
ENHO	ENHO
FBXO25	FBXO25
PDIA6	PDIA6
ARAP3	ARAP3
TNNI1	TNNI1
DDTL	DDTL
UFD1	UFD1
SURF4	SURF4
SLC39A5	SLC39A5
GGT2	GGT2
DSC2	DSC2
GPR18	GPR18
TEDC2	TEDC2
FRG2C	FRG2C
USP51	USP51
OR8H1	OR8H1
RDH16	RDH16
GARS	GARS
PURB	PURB
POU2F2	POU2F2
PTPRM	PTPRM
SLC2A14	SLC2A14
CCNB2	CCNB2
NT5C2	NT5C2
SPATC1	SPATC1
PLLP	PLLP
GON7	GON7
ZBTB41	ZBTB41
ZMYM3	ZMYM3
ZNF445	ZNF445
USP17L19	USP17L19
AAMDC	AAMDC
SLC25A10	SLC25A10
RECQL4	RECQL4
UQCR11	UQCR11
CRYZL1	CRYZL1
SMAP2	SMAP2
CEP72	CEP72
OR51A2	OR51A2
B3GNT6	B3GNT6
PRDX2	PRDX2
CDSN	CDSN
GJA3	GJA3
TMEM179B	TMEM179B
MFN2	MFN2
LGALS9C	LGALS9C
RXFP3	RXFP3
PLCD3	PLCD3
CNTNAP5	CNTNAP5
TADA3	TADA3
QRICH2	QRICH2
MYT1	MYT1
PLA2G4E	PLA2G4E
GLI1	GLI1
ERICH6	ERICH6
CFDP1	CFDP1
PRKAG2	PRKAG2
EPB41L2	EPB41L2
ALOX5	ALOX5
SLC16A9	SLC16A9
ITGB8	ITGB8
YWHAB	YWHAB
TIGD4	TIGD4
HSD11B2	HSD11B2
MTIF2	MTIF2
SPAG6	SPAG6
ARMC2	ARMC2
ZNF789	ZNF789
SERPINB7	SERPINB7
GPRIN2	GPRIN2
VSIG10	VSIG10
TOX3	TOX3
CCR1	CCR1
PINX1	PINX1
CXCL6	CXCL6
CSAD	CSAD
SEPHS2	SEPHS2
KIAA1217	KIAA1217
FAM71D	FAM71D
DMAC2	DMAC2
PEX5L	PEX5L
TIPARP	TIPARP
MFAP4	MFAP4
KRT26	KRT26
NAPEPLD	NAPEPLD
PSG5	PSG5
HTR1B	HTR1B
BAG1	BAG1
LRRC8B	LRRC8B
AMIGO1	AMIGO1
SLC34A2	SLC34A2
SLC25A5	SLC25A5
CCK	CCK
SMARCD2	SMARCD2
SIMC1	SIMC1
RLN3	RLN3
C6orf120	C6orf120
NFATC1	NFATC1
ASXL3	ASXL3
TTC31	TTC31
PPM1N	PPM1N
ETAA1	ETAA1
METTL2A	METTL2A
PRSS55	PRSS55
FZD8	FZD8
MAOB	MAOB
SPR	SPR
PSTK	PSTK
FCGR2A	FCGR2A
TRIM43B	TRIM43B
SULF1	SULF1
SACM1L	SACM1L
GLRA3	GLRA3
POLN	POLN
COQ8A	COQ8A
TDRD15	TDRD15
CENPA	CENPA
HTR7	HTR7
CIDEC	CIDEC
NRP2	NRP2
ALK	ALK
NPTX2	NPTX2
RPUSD4	RPUSD4
NES	NES
AZIN1	AZIN1
TMEM167B	TMEM167B
TMEM251	TMEM251
PLD3	PLD3
CYTH2	CYTH2
TBC1D12	TBC1D12
CXorf51A	CXorf51A
TRIB1	TRIB1
OR51A4	OR51A4
TTC32	TTC32
FAM43B	FAM43B
TRAPPC6A	TRAPPC6A
USO1	USO1
SLC10A4	SLC10A4
SH3RF3	SH3RF3
ARL2BP	ARL2BP
HM13	HM13
UBXN2B	UBXN2B
BTBD18	BTBD18
OPN4	OPN4
CASC3	CASC3
LY6D	LY6D
PTHLH	PTHLH
KLHL33	KLHL33
EIPR1	EIPR1
APBB1IP	APBB1IP
LENG8	LENG8
IDH3G	IDH3G
IPO9	IPO9
MEIS1	MEIS1
NFKBIA	NFKBIA
ELMO2	ELMO2
SUCNR1	SUCNR1
SIX1	SIX1
IGSF10	IGSF10
LRRC39	LRRC39
SOX7	SOX7
CFHR5	CFHR5
WFDC5	WFDC5
TNS4	TNS4
PRKCG	PRKCG
UTP20	UTP20
HGSNAT	HGSNAT
LARP6	LARP6
PNOC	PNOC
EMC9	EMC9
ZNF747	ZNF747
ERCC3	ERCC3
GIN1	GIN1
F10	F10
TIMMDC1	TIMMDC1
FAM171B	FAM171B
ODF2	ODF2
LMLN	LMLN
MYDGF	MYDGF
IKZF2	IKZF2
SSUH2	SSUH2
NEDD9	NEDD9
NME1-NME2	NME1-NME2
FAM169B	FAM169B
NRGN	NRGN
ZNF736	ZNF736
FAT1	FAT1
IARS2	IARS2
SEM1	SEM1
PI4K2A	PI4K2A
POMK	POMK
TRAIP	TRAIP
PRAMEF26	PRAMEF26
BPHL	BPHL
TP73	TP73
SLC39A13	SLC39A13
RNFT2	RNFT2
HOXB5	HOXB5
SDE2	SDE2
DMXL2	DMXL2
PEX3	PEX3
CTAGE1	CTAGE1
TGFBR3L	TGFBR3L
HERC1	HERC1
USP4	USP4
HOXB1	HOXB1
NUDC	NUDC
DZANK1	DZANK1
C4orf17	C4orf17
FUT9	FUT9
FOXC2	FOXC2
ATP10A	ATP10A
NBPF4	NBPF4
ELOVL4	ELOVL4
CAPN9	CAPN9
KHDC4	KHDC4
FASTKD1	FASTKD1
GABRA6	GABRA6
ROS1	ROS1
MACROD2	MACROD2
FBXO39	FBXO39
AC092850.1	AC092850.1
AAR2	AAR2
AC008914.1	AC008914.1
DPPA4	DPPA4
ZNF263	ZNF263
TTC21A	TTC21A
CD8A	CD8A
KNTC1	KNTC1
TNFRSF8	TNFRSF8
ZNF432	ZNF432
TBRG1	TBRG1
SLC35D3	SLC35D3
RDH5	RDH5
MRPL1	MRPL1
VPS37B	VPS37B
CAPS2	CAPS2
USP46	USP46
KRT4	KRT4
DCBLD1	DCBLD1
BCKDHB	BCKDHB
GRK4	GRK4
YLPM1	YLPM1
RIN1	RIN1
GYG2	GYG2
COMMD6	COMMD6
C9orf16	C9orf16
OCSTAMP	OCSTAMP
GTF2H5	GTF2H5
ADHFE1	ADHFE1
MRPL21	MRPL21
MYO19	MYO19
FLRT2	FLRT2
ADAP2	ADAP2
RNF166	RNF166
OR10A3	OR10A3
IGSF3	IGSF3
DWORF	DWORF
CASP14	CASP14
NAT14	NAT14
PRR12	PRR12
PPP4R2	PPP4R2
SMC6	SMC6
CSHL1	CSHL1
UBE2G2	UBE2G2
PRND	PRND
MSMO1	MSMO1
PPP5C	PPP5C
DMRTC1B	DMRTC1B
RAB3A	RAB3A
OCLM	OCLM
LCE1F	LCE1F
GTF2H3	GTF2H3
RPA3	RPA3
TAC3	TAC3
TEDDM1	TEDDM1
ZNF326	ZNF326
MRPL19	MRPL19
NTNG2	NTNG2
GAPDH	GAPDH
NXF2B	NXF2B
OSBP2	OSBP2
WDR64	WDR64
RAB31	RAB31
NPPA	NPPA
SLCO1B7	SLCO1B7
C1orf174	C1orf174
GRHL2	GRHL2
HACD4	HACD4
EFNB3	EFNB3
TRIM52	TRIM52
ZNF503	ZNF503
TAF8	TAF8
ABLIM2	ABLIM2
SNAPC4	SNAPC4
DLG1	DLG1
RASA3	RASA3
NUDT18	NUDT18
KDM4E	KDM4E
H3F3A	H3F3A
GSDMB	GSDMB
SS18L1	SS18L1
TMIGD3	TMIGD3
SOX10	SOX10
SNX21	SNX21
KDELR3	KDELR3
PABPC5	PABPC5
COL4A3	COL4A3
LAMA2	LAMA2
CDC25A	CDC25A
ARL8A	ARL8A
HHLA3	HHLA3
MITD1	MITD1
ACACA	ACACA
MSH5	MSH5
CSNK1G2	CSNK1G2
NRXN2	NRXN2
KPTN	KPTN
CTBP1	CTBP1
CAAP1	CAAP1
GSN	GSN
CSPG5	CSPG5
MFSD4A	MFSD4A
SNTB2	SNTB2
PEX13	PEX13
EPS15L1	EPS15L1
OR5V1	OR5V1
MMP10	MMP10
TXNDC16	TXNDC16
OR4E2	OR4E2
MMP24	MMP24
XIRP2	XIRP2
UCHL5	UCHL5
CFAP47	CFAP47
ETV4	ETV4
CYB5R2	CYB5R2
HMCN1	HMCN1
YKT6	YKT6
MYL2	MYL2
HIST1H4G	HIST1H4G
GPR89A	GPR89A
AL589739.1	AL589739.1
RCOR3	RCOR3
TAF7	TAF7
JAM2	JAM2
TLE2	TLE2
MAGEL2	MAGEL2
KRT9	KRT9
AC009086.2	AC009086.2
SLC15A2	SLC15A2
TBL1Y	TBL1Y
TM4SF20	TM4SF20
CMTR1	CMTR1
ZBED1	ZBED1
SLC22A18	SLC22A18
UBL7	UBL7
AKT3	AKT3
MOSPD1	MOSPD1
EMC3	EMC3
GCKR	GCKR
C1orf61	C1orf61
MT-ATP6	MT-ATP6
SMU1	SMU1
TLE6	TLE6
URGCP-MRPS24	URGCP-MRPS24
OR1I1	OR1I1
FAM214B	FAM214B
WNT3	WNT3
RP2	RP2
BECN1	BECN1
ITGA3	ITGA3
AC107871.1	AC107871.1
AC131160.1	AC131160.1
MYH4	MYH4
BCO2	BCO2
TIMM13	TIMM13
GLRA4	GLRA4
OPN1LW	OPN1LW
TMEM110-MUSTN1	TMEM110-MUSTN1
RASGRP4	RASGRP4
KLHL9	KLHL9
TMEM158	TMEM158
AC008948.1	AC008948.1
CRY2	CRY2
PRICKLE2	PRICKLE2
GAGE2E	GAGE2E
ZNF417	ZNF417
AC020922.1	AC020922.1
ALKBH1	ALKBH1
LCE1A	LCE1A
CHP2	CHP2
GALR2	GALR2
KRTAP19-5	KRTAP19-5
LONP1	LONP1
NBL1	NBL1
CATIP	CATIP
LATS1	LATS1
E2F3	E2F3
ZNF227	ZNF227
SERPINE1	SERPINE1
KRT35	KRT35
KLC4	KLC4
TRIM9	TRIM9
CCHCR1	CCHCR1
CCDC8	CCDC8
CELSR2	CELSR2
ALS2CR12	ALS2CR12
ZNF799	ZNF799
PTGIR	PTGIR
OR10J5	OR10J5
ABHD17A	ABHD17A
ZSCAN29	ZSCAN29
B2M	B2M
RPL32	RPL32
TLR4	TLR4
MPZ	MPZ
ZC3H18	ZC3H18
DNMT3A	DNMT3A
TRPC6	TRPC6
RRAS	RRAS
CA3	CA3
OTX2	OTX2
PRKX	PRKX
ADH1B	ADH1B
STX18	STX18
ZBTB38	ZBTB38
ADAMTSL4	ADAMTSL4
GTF3C1	GTF3C1
ARID5A	ARID5A
MFSD14B	MFSD14B
ACY1	ACY1
PID1	PID1
RNF34	RNF34
EPHA5	EPHA5
TPSAB1	TPSAB1
MUC22	MUC22
ZBP1	ZBP1
COX7C	COX7C
MAGEA2	MAGEA2
CEP41	CEP41
AC010760.1	AC010760.1
NKX2-5	NKX2-5
RAB24	RAB24
CR1L	CR1L
NUDT22	NUDT22
VWA3A	VWA3A
FUT5	FUT5
COMMD10	COMMD10
ANKRD33	ANKRD33
AGAP3	AGAP3
SYCE2	SYCE2
PLEKHM1	PLEKHM1
BHLHE22	BHLHE22
TRMT10A	TRMT10A
SMG9	SMG9
ATP6V1C2	ATP6V1C2
TFDP1	TFDP1
CT47A1	CT47A1
RAD9B	RAD9B
SPINK9	SPINK9
ATP12A	ATP12A
ANAPC16	ANAPC16
SNRPD1	SNRPD1
SHCBP1L	SHCBP1L
AC011462.1	AC011462.1
ACSL1	ACSL1
RAD54L	RAD54L
RFK	RFK
CORO1A	CORO1A
THTPA	THTPA
SLC22A12	SLC22A12
ZNF775	ZNF775
PRKD1	PRKD1
PLEKHG6	PLEKHG6
OR1G1	OR1G1
SRRM1	SRRM1
WDR55	WDR55
NDST2	NDST2
RAPGEF3	RAPGEF3
TM4SF1	TM4SF1
GAB3	GAB3
WDR31	WDR31
MAFF	MAFF
C22orf15	C22orf15
GMIP	GMIP
AC244517.10	AC244517.10
RPS6KB2	RPS6KB2
OR52I2	OR52I2
BMX	BMX
AC245033.1	AC245033.1
SPATA9	SPATA9
FH	FH
AC243547.3	AC243547.3
SMG1	SMG1
WIPF3	WIPF3
C1QC	C1QC
ANKLE2	ANKLE2
ZNF385C	ZNF385C
H1FOO	H1FOO
SCEL	SCEL
PKP2	PKP2
NDUFA13	NDUFA13
RND1	RND1
KLHL24	KLHL24
ARRB1	ARRB1
CEP170	CEP170
FLRT1	FLRT1
GABBR1	GABBR1
HNRNPA1	HNRNPA1
TADA2B	TADA2B
AASDH	AASDH
PLCH1	PLCH1
VWC2	VWC2
SKIV2L	SKIV2L
PTGR1	PTGR1
NFKB2	NFKB2
MGLL	MGLL
ZMYM1	ZMYM1
RBP5	RBP5
KDM2A	KDM2A
MEF2A	MEF2A
SMYD3	SMYD3
SSX7	SSX7
HIST1H2BF	HIST1H2BF
IGFBPL1	IGFBPL1
ZNF616	ZNF616
COPS3	COPS3
ECH1	ECH1
AMOT	AMOT
BCL7C	BCL7C
OR4F4	OR4F4
TAX1BP1	TAX1BP1
CHFR	CHFR
BVES	BVES
CFAP298	CFAP298
KRTAP21-1	KRTAP21-1
CIAO3	CIAO3
FHL5	FHL5
VSTM2B	VSTM2B
MAK	MAK
ABCD3	ABCD3
CIITA	CIITA
TSHB	TSHB
PAPLN	PAPLN
ZNF665	ZNF665
CDK16	CDK16
ADAM32	ADAM32
TAAR9	TAAR9
WDR1	WDR1
LMBRD1	LMBRD1
GSG1	GSG1
IQCF3	IQCF3
ABHD16A	ABHD16A
SFR1	SFR1
ABCB8	ABCB8
ZNF554	ZNF554
MYO3A	MYO3A
TM2D3	TM2D3
AC097637.1	AC097637.1
CENPBD1	CENPBD1
CNGA3	CNGA3
NEUROG2	NEUROG2
ZNF34	ZNF34
DZIP1L	DZIP1L
GSDME	GSDME
ZDHHC21	ZDHHC21
SH3BGRL	SH3BGRL
BRD9	BRD9
KLHDC8A	KLHDC8A
TFAP4	TFAP4
TPSB2	TPSB2
GPC5	GPC5
GPN3	GPN3
POLR2E	POLR2E
CNPY2	CNPY2
CD63	CD63
SCUBE1	SCUBE1
TP53	TP53
PCDHAC2	PCDHAC2
KLRF1	KLRF1
DCLK2	DCLK2
CHURC1	CHURC1
RBM47	RBM47
KRTAP9-2	KRTAP9-2
TEX26	TEX26
GAL3ST2	GAL3ST2
ADAMTS10	ADAMTS10
PLCZ1	PLCZ1
DCTN4	DCTN4
JUNB	JUNB
AC006435.1	AC006435.1
TNS2	TNS2
KCNA2	KCNA2
OTOGL	OTOGL
ZNF345	ZNF345
POTEB	POTEB
AP000688.1	AP000688.1
PRR20C	PRR20C
OR2AJ1	OR2AJ1
RNASET2	RNASET2
STAG3	STAG3
GATAD1	GATAD1
FFAR3	FFAR3
ST6GAL1	ST6GAL1
YDJC	YDJC
LYSMD2	LYSMD2
GET4	GET4
NOP9	NOP9
RPL17	RPL17
PALM2	PALM2
HMG20B	HMG20B
SUSD6	SUSD6
AL355315.1	AL355315.1
VRK3	VRK3
WSB2	WSB2
TRIM21	TRIM21
OR2K2	OR2K2
ZNF527	ZNF527
IFI30	IFI30
KLB	KLB
CNTNAP3	CNTNAP3
AC104662.2	AC104662.2
STAB2	STAB2
OR8A1	OR8A1
ZNF688	ZNF688
ALPK1	ALPK1
CXorf56	CXorf56
LAMTOR5	LAMTOR5
FAM9A	FAM9A
BACE1	BACE1
HES6	HES6
LARS2	LARS2
MAB21L2	MAB21L2
NAA38	NAA38
CLDN9	CLDN9
C2orf16	C2orf16
ERN1	ERN1
PCIF1	PCIF1
MRPL46	MRPL46
KIAA1210	KIAA1210
VAT1	VAT1
OMA1	OMA1
PNCK	PNCK
MCL1	MCL1
KIAA1549L	KIAA1549L
TNIP2	TNIP2
FAM155B	FAM155B
ZNF493	ZNF493
ORC2	ORC2
RNF8	RNF8
BX088651.2	BX088651.2
SLC36A3	SLC36A3
IL5	IL5
R3HDM2	R3HDM2
DNAJB14	DNAJB14
RSPH10B	RSPH10B
MCM3	MCM3
CABCOCO1	CABCOCO1
ESRP1	ESRP1
CHGB	CHGB
ANKRD18B	ANKRD18B
MNT	MNT
GYS1	GYS1
MAX	MAX
GINS3	GINS3
EDDM3B	EDDM3B
RAB27A	RAB27A
TECPR1	TECPR1
S100Z	S100Z
SELENON	SELENON
SLURP1	SLURP1
AMN	AMN
TNNT3	TNNT3
CERS6	CERS6
HLX	HLX
SEL1L3	SEL1L3
SART3	SART3
PDGFA	PDGFA
CIR1	CIR1
CTDP1	CTDP1
MRM1	MRM1
TMEM265	TMEM265
POLR1C	POLR1C
PCDHB14	PCDHB14
CDK10	CDK10
TNRC6B	TNRC6B
BZW1	BZW1
SPIN3	SPIN3
IMPG1	IMPG1
GRID1	GRID1
FAM185A	FAM185A
KLHL32	KLHL32
SEMA4A	SEMA4A
LNPK	LNPK
S100A1	S100A1
VRK2	VRK2
FZD7	FZD7
CCL3	CCL3
LAIR2	LAIR2
HIST1H4D	HIST1H4D
ALG12	ALG12
YAE1	YAE1
LRRK1	LRRK1
AC016586.1	AC016586.1
EGR2	EGR2
NBPF10	NBPF10
GBP3	GBP3
DGKZ	DGKZ
TMPRSS13	TMPRSS13
HOXA13	HOXA13
TMED8	TMED8
NDUFS2	NDUFS2
DUSP8	DUSP8
ATAD3B	ATAD3B
ETS1	ETS1
FRK	FRK
UPK1A	UPK1A
FOSL1	FOSL1
