	tsp_mRNA
AC019294.1	AC019294.1
VSX1	VSX1
SGK3	SGK3
HEMGN	HEMGN
TGM7	TGM7
NAALADL2	NAALADL2
PPP1R15A	PPP1R15A
POT1	POT1
TRIM4	TRIM4
DNAJC10	DNAJC10
TCP11X2	TCP11X2
MIA	MIA
ZSCAN16	ZSCAN16
AKAP14	AKAP14
KRTAP10-3	KRTAP10-3
NISCH	NISCH
REXO5	REXO5
IRF4	IRF4
IFT27	IFT27
SDR9C7	SDR9C7
NOS1	NOS1
CCDC42	CCDC42
MAGED4	MAGED4
CAMK1D	CAMK1D
NKX1-1	NKX1-1
C2CD2L	C2CD2L
GNGT2	GNGT2
TAF11L6	TAF11L6
CSPP1	CSPP1
FBXW11	FBXW11
GJB5	GJB5
WNT6	WNT6
C16orf71	C16orf71
CCDC62	CCDC62
BCS1L	BCS1L
HIST1H2AD	HIST1H2AD
NPIPA5	NPIPA5
AL929472.1	AL929472.1
VPS35L	VPS35L
AP000311.1	AP000311.1
ZFP3	ZFP3
PIK3CB	PIK3CB
MTRNR2L5	MTRNR2L5
DNAH14	DNAH14
MDGA1	MDGA1
ITLN1	ITLN1
WDR35	WDR35
PPIA	PPIA
OR10H5	OR10H5
RCAN2	RCAN2
ARL4A	ARL4A
NME9	NME9
CDKN1B	CDKN1B
ZNF850	ZNF850
CEBPZ	CEBPZ
TAF11L7	TAF11L7
POLQ	POLQ
RNF152	RNF152
SEC23IP	SEC23IP
TSFM	TSFM
CYP27B1	CYP27B1
SULT1C3	SULT1C3
EIF2S3B	EIF2S3B
ZNF607	ZNF607
ELOF1	ELOF1
MSX2	MSX2
ARFIP1	ARFIP1
SP3	SP3
SUMO1	SUMO1
KCTD11	KCTD11
IFNL3	IFNL3
CLEC18C	CLEC18C
PCDHGB6	PCDHGB6
IFI16	IFI16
GPR89B	GPR89B
PET117	PET117
ZNF71	ZNF71
WNT3A	WNT3A
AC011530.1	AC011530.1
DIABLO	DIABLO
C5orf34	C5orf34
TTC17	TTC17
RBAK	RBAK
FKBP2	FKBP2
PCDH18	PCDH18
POLR2D	POLR2D
ANTXR2	ANTXR2
ATP2B2	ATP2B2
MYOG	MYOG
OTOP2	OTOP2
AC021072.1	AC021072.1
ZSCAN18	ZSCAN18
MAL	MAL
IPCEF1	IPCEF1
GIGYF2	GIGYF2
PLCL1	PLCL1
AKAP6	AKAP6
NDUFA11	NDUFA11
THAP7	THAP7
IRF2BPL	IRF2BPL
TAS2R40	TAS2R40
LGALSL	LGALSL
ZNF18	ZNF18
CNDP2	CNDP2
WNT9A	WNT9A
GADD45GIP1	GADD45GIP1
CCL4L2	CCL4L2
MEP1A	MEP1A
WFDC2	WFDC2
PRSS54	PRSS54
PHF19	PHF19
ZNF24	ZNF24
C12orf57	C12orf57
NPVF	NPVF
CSE1L	CSE1L
SYCP2	SYCP2
ATP5F1A	ATP5F1A
GP6	GP6
ZNF16	ZNF16
CCDC73	CCDC73
RAB32	RAB32
IQCK	IQCK
TUSC2	TUSC2
AMPD2	AMPD2
SI	SI
KDM4A	KDM4A
CUL3	CUL3
PROC	PROC
SLC3A1	SLC3A1
DMC1	DMC1
ADGRB1	ADGRB1
PPP3R1	PPP3R1
MAP3K13	MAP3K13
METTL26	METTL26
CMPK2	CMPK2
ARPC3	ARPC3
TUBAL3	TUBAL3
ENDOU	ENDOU
PC	PC
UHRF1BP1L	UHRF1BP1L
DDHD2	DDHD2
PIGN	PIGN
BMPR1A	BMPR1A
PRR32	PRR32
TRIM34	TRIM34
MBTPS2	MBTPS2
TAB3	TAB3
OR10V1	OR10V1
LINC02210-CRHR1	LINC02210-CRHR1
AP000695.1	AP000695.1
MAT2B	MAT2B
FGF11	FGF11
MT-ND1	MT-ND1
NPC1L1	NPC1L1
CASK	CASK
BARD1	BARD1
KCNA4	KCNA4
ARHGEF9	ARHGEF9
PCDHB11	PCDHB11
RAB33A	RAB33A
USP21	USP21
PITPNB	PITPNB
MPHOSPH6	MPHOSPH6
GPR182	GPR182
ZBTB49	ZBTB49
GIMD1	GIMD1
CLIP1	CLIP1
AL590132.1	AL590132.1
CA4	CA4
TUBB8P12	TUBB8P12
SYMPK	SYMPK
MYF5	MYF5
AMY2A	AMY2A
SIGLEC1	SIGLEC1
KLHL31	KLHL31
TFEC	TFEC
IL12A	IL12A
LBHD2	LBHD2
ZNF597	ZNF597
FAM184A	FAM184A
ABRACL	ABRACL
SV2C	SV2C
GUCY2F	GUCY2F
TWIST2	TWIST2
SYCE1L	SYCE1L
ZNF3	ZNF3
RPL26L1	RPL26L1
DEDD	DEDD
LSM6	LSM6
ADRA2B	ADRA2B
NPIPA3	NPIPA3
TMEM120B	TMEM120B
SEBOX	SEBOX
OR4C11	OR4C11
CHCHD4	CHCHD4
LMNB2	LMNB2
PTRHD1	PTRHD1
GPR32	GPR32
OIT3	OIT3
CCDC17	CCDC17
DCAF6	DCAF6
SNX13	SNX13
NME1	NME1
PRB1	PRB1
CCNI	CCNI
GPR45	GPR45
SNX33	SNX33
PODN	PODN
MMP3	MMP3
TBC1D8B	TBC1D8B
LGSN	LGSN
AKT1	AKT1
OR51S1	OR51S1
PENK	PENK
PVR	PVR
CDC45	CDC45
METTL14	METTL14
NPM1	NPM1
SPAG16	SPAG16
ZNF611	ZNF611
KCNJ16	KCNJ16
AC007204.1	AC007204.1
CHADL	CHADL
SDHA	SDHA
ACSL3	ACSL3
ZNF586	ZNF586
FARSA	FARSA
MAP1S	MAP1S
C19orf25	C19orf25
DOK6	DOK6
CEP85	CEP85
CORO1B	CORO1B
DUXB	DUXB
IRX1	IRX1
MMP19	MMP19
SND1	SND1
TBPL1	TBPL1
IPO7	IPO7
AXDND1	AXDND1
LBR	LBR
GALK1	GALK1
SCYGR3	SCYGR3
C2orf91	C2orf91
FETUB	FETUB
THEM6	THEM6
TAS2R10	TAS2R10
CPVL	CPVL
NDUFB5	NDUFB5
RPF1	RPF1
ZNF440	ZNF440
VCAM1	VCAM1
AP1G1	AP1G1
CACNG3	CACNG3
TRMT10C	TRMT10C
CCSER1	CCSER1
BOLA2-SMG1P6	BOLA2-SMG1P6
GPR183	GPR183
APBB3	APBB3
NLRP13	NLRP13
CCDC103	CCDC103
RPRD1B	RPRD1B
AC117395.1	AC117395.1
CCDC18	CCDC18
MOBP	MOBP
FAM71E2	FAM71E2
CEP85L	CEP85L
ASIC3	ASIC3
STUB1	STUB1
BICD1	BICD1
TIPIN	TIPIN
GTDC1	GTDC1
APEX2	APEX2
PVALEF	PVALEF
THBS3	THBS3
CHST10	CHST10
GALNT17	GALNT17
MYD88	MYD88
IFNA5	IFNA5
XDH	XDH
LIX1	LIX1
TBC1D5	TBC1D5
TFIP11	TFIP11
PSMD3	PSMD3
GTPBP3	GTPBP3
HGF	HGF
OOEP	OOEP
PROS1	PROS1
PCDHB15	PCDHB15
C1orf43	C1orf43
PPP1CC	PPP1CC
IL23A	IL23A
FIGNL2	FIGNL2
LSM4	LSM4
DYNC1I2	DYNC1I2
PRMT1	PRMT1
SPATA31A3	SPATA31A3
