	variance
ANP32B	0.86788404
TCEAL4	0.8666623
CIRBP	0.8625704
MT1M	0.85986966
MS4A6A	0.8551188
MYLK	0.85373884
HPX	0.8456577
SLC11A1	0.8444772
NR4A1	0.841739
HNRNPC	0.8410293
ETS1	0.83848333
RBP1	0.835409
SYNE2	0.8234933
S100A1	0.8232039
RAC2	0.8210595
LAMP3	0.8209175
RAMP2	0.8208975
TLE4	0.816235
GHRL	0.8146165
PERP	0.8143342
ACTR2	0.8142641
MS4A7	0.8140944
ATP1B1	0.8139339
GSTA1	0.8139168
COL1A1	0.81227124
CIB1	0.8121342
MDH1	0.8116059
CCR7	0.80755687
SERPINA6	0.80704314
SMCHD1	0.80418444
CD3G	0.79803765
CD79A	0.796752
ZFAND5	0.79520243
PRDX6	0.79489547
PGRMC1	0.7941814
STOM	0.79326093
VAMP8	0.7907227
PTGES	0.7906536
FCGR2A	0.78501946
EID1	0.78194875
TIMP2	0.78096384
NT5C3A	0.7793829
GPR183	0.77899194
ZYX	0.7789223
AGR3	0.7787572
MPO	0.77833396
ARGLU1	0.7778567
SUCLG1	0.77663654
MGST3	0.77258724
SLC25A4	0.77052796
C5AR1	0.7680343
COX5A	0.7624791
UQCR11	0.7619447
CENPF	0.7589819
SRRM2	0.7536555
PHPT1	0.7516069
TMEM258	0.7512596
MBNL1	0.7496879
FXYD5	0.74555224
RHOA	0.7443279
PLVAP	0.7440145
CSRP3	0.7438595
STXBP2	0.7437433
FSCN1	0.74079555
SCGB2A2	0.73910713
YPEL3	0.73878354
COL4A1	0.73816615
DNAAF1	0.73627603
ASAH1	0.7362122
LUC7L3	0.7334641
C7	0.72664976
CLC	0.72652304
SNRPD2	0.72265846
CD151	0.7224769
NDUFB1	0.71874845
CCL2	0.7172763
SLIRP	0.7142659
HNRNPU	0.7141193
C2orf88	0.7120541
EPAS1	0.71056026
CDKN2D	0.7103575
RTN4	0.7099615
MS4A1	0.70974624
SRSF5	0.70965385
CP	0.7071572
RAB32	0.70687366
EIF2AK1	0.7049501
LRP1	0.70276034
QPCT	0.7024854
TCF4	0.6957678
KTN1	0.6950725
SERBP1	0.69317955
SRSF3	0.6921998
CETN2	0.68831974
LGALS4	0.6830554
NDUFS6	0.6817356
MARCH2	0.6805546
EFHD2	0.6801253
CDKN1A	0.67991686
SLC25A39	0.6788918
GPSM3	0.675823
C12orf75	0.6745628
FHL1	0.67156625
ETS2	0.6711117
PCBP2	0.67064494
GATM	0.6688374
PLAC9	0.6643916
ARHGAP18	0.66420853
SNRPF	0.6622959
REL	0.658205
DDX17	0.65799564
MSN	0.6563312
TMBIM6	0.6559762
HSBP1	0.6557593
MATK	0.655097
CTSW	0.6550643
RGCC	0.6540269
BNIP3L	0.65371174
VTN	0.6509639
PIK3R1	0.6478306
CYP4B1	0.64603466
TFF3	0.6448446
LAPTM4A	0.64292276
CNN1	0.64147186
BLVRB	0.64112693
AGR2	0.64061964
RASSF4	0.63947916
LRRFIP1	0.6347877
RPS27L	0.6306977
TGFBR2	0.630206
ECHDC2	0.6290951
ATP1A1	0.62630486
GLRX5	0.6230014
TYMP	0.6218568
PHLDA2	0.6212421
ELF1	0.6198935
ACTA1	0.61851346
LEF1	0.6154849
MORN2	0.61509556
CXCR2	0.6148007
IKZF1	0.6134891
ELANE	0.6106946
PIFO	0.6038887
DNAJA1	0.6032578
COX6A1	0.6007772
RAC1	0.5989639
FBLN2	0.5986407
SFRP2	0.5983738
CALB1	0.59809345
CYCS	0.59770566
GNG5	0.5976734
MYO1F	0.5972441
SRSF7	0.59552574
HERPUD1	0.59437424
TFPI	0.5936714
SOD1	0.59320587
HNRNPDL	0.59312785
PSMA7	0.5929903
RPS4Y1	0.5920953
IL6ST	0.591414
SKP1	0.589845
NDRG1	0.5896303
PTGS2	0.5893391
DST	0.58797616
STK4	0.58751005
FAM107B	0.58655983
